amfi_code,scheme_name,cagr_3yr,sharpe_ratio,sortino_ratio,alpha_annual,beta,max_drawdown,expense_ratio,r_cagr3,r_sharpe,r_alpha,r_exp,r_mdd,score,rank
102887,UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,0.3976,0.5906,16.1792,0.0402,-21.29,1.64,70.0,47.5,50.0,1.2499999999999956,72.5,50.31,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,0.5114,0.7258,17.5879,-0.0041,-13.9,1.42,40.0,62.5,57.49999999999999,50.0,32.49999999999999,49.88,22
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,0.1402,0.2006,12.0554,-0.0185,-21.12,0.78,37.5,37.5,37.5,75.0,70.0,46.38,23
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,0.5047,0.7501,16.9927,-0.0019,-10.86,1.57,57.49999999999999,57.49999999999999,55.00000000000001,15.000000000000002,15.000000000000002,46.37,24
118634,Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,0.2953,0.4156,17.8002,0.0091,-23.34,1.53,35.0,45.0,60.0,28.749999999999996,77.5,45.81,25
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,0.2513,0.3488,13.1299,0.0149,-14.11,1.54,50.0,42.5,42.5,23.750000000000004,35.0,41.19,26
120841,Kotak Bluechip Fund - Regular - Growth,17.26727508371786,0.2507,0.3702,13.0682,0.0417,-17.57,1.59,47.5,40.0,40.0,12.5,57.49999999999999,39.88,27
120842,Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,-0.076,-0.1053,7.8587,0.0006,-24.0,1.56,32.5,30.0,30.0,17.500000000000004,80.0,33.88,28
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,-0.1222,-0.1704,5.0572,0.0077,-52.57,0.72,7.5,25.0,12.5,86.25,97.5,33.69,29
101207,ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,0.0606,0.0871,10.8206,-0.0599,-35.45,1.53,5.0,35.0,35.0,28.749999999999996,92.5,30.81,30
120507,ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,-3.6601,-7.2277,6.7472,-0.0011,-0.1,0.74,30.0,7.5,25.0,82.5,0.0,28.25,31
120844,Kotak Liquid Fund - Regular - Growth,6.695971624586994,-4.0011,-7.7719,6.4546,-0.0001,-0.12,0.6,27.500000000000004,5.0,22.5,92.5,2.500000000000002,28.12,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,-0.8647,-1.2585,5.0963,-0.0085,-8.32,0.55,20.0,12.5,15.0,97.5,12.5,28.0,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,-0.7548,-1.0623,5.5763,0.012,-4.33,0.77,22.5,15.0,17.5,77.5,9.999999999999998,26.62,34
119095,Axis Small Cap Fund - Regular - Growth,-11.705806723995272,-0.1655,-0.236,4.568,0.0133,-51.68,1.38,2.5,22.5,10.0,57.49999999999999,95.0,26.5,35
100025,HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,-1.0232,-1.4371,4.319,-0.0162,-4.31,0.56,17.5,10.0,7.5,95.0,7.499999999999996,24.25,36
101208,ABSL Liquid Fund - Regular - Growth,6.315784491375509,-4.64,-8.7061,6.0842,0.0013,-0.16,0.79,25.0,2.5,20.0,72.5,5.000000000000004,23.5,37
102886,UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,-0.3064,-0.437,2.895,-0.0615,-28.0,1.51,10.0,20.0,2.5,38.74999999999999,85.0,22.81,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,-0.3078,-0.453,3.6221,-0.0259,-24.73,1.55,15.0,17.5,5.0,19.999999999999996,82.5,21.12,39
119092,Axis Bluechip Fund - Regular - Growth,0.5258871209757432,-0.122,-0.1761,6.9702,-0.0196,-14.4,1.64,12.5,27.500000000000004,27.500000000000004,1.2499999999999956,37.5,20.06,40
